Gu	Korean	Foreigner	Senior
Total	" 9,450,768 "	" 231,358 "	" 1,650,367 "
Jongrogu	" 141,978 "	" 10,021 "	" 27,787 "
Jongru	" 120,969 "	" 9,795 "	" 24,841 "
Yongsangu	" 219,275 "	" 14,459 "	" 38,784 "
Seongdonggu	" 282,250 "	" 6,691 "	" 47,347 "
Kwangjingu	" 338,257 "	" 12,816 "	" 53,405 "
Dongdaemoongu	" 337,106 "	" 16,075 "	" 63,807 "
Jungranggu	" 386,390 "	" 4,720 "	" 74,112 "
Seongbukgu	" 431,827 "	" 10,769 "	" 76,719 "
Gangbukgu	" 294,876 "	" 3,746 "	" 65,655 "
Dobonggu	" 312,788 "	" 2,096 "	" 66,253 "
Nowonggu	" 505,503 "	" 4,183 "	" 90,914 "
Eunpyonggu	" 470,289 "	" 3,835 "	" 89,308 "
Seodaemungu	" 305,149 "	" 12,010 "	" 55,404 "
Mapogu	" 365,266 "	" 10,796 "	" 55,525 "
Yangcheongu	" 442,145 "	" 3,125 "	" 71,333 "
Gangseogu	" 570,368 "	" 5,445 "	" 95,836 "
Gurogu	" 393,181 "	" 23,389 "	" 75,041 "
Guemcheongu	" 230,504 "	" 13,368 "	" 42,444 "
Youngdeungpogu	" 376,216 "	" 22,722 "	" 64,285 "
Dongjakgu	" 383,637 "	" 8,991 "	" 67,863 "
Kwanakgu	" 486,787 "	" 13,963 "	" 81,713 "
Seoucheogu	" 405,076 "	" 3,949 "	" 61,703 "
Gangnamgu	" 530,103 "	" 4,885 "	" 80,836 "
Songpagu	" 660,211 "	" 5,636 "	" 102,103 "
Gangdonggu	" 460,617 "	" 3,873 "	" 77,349 "
